quant_rank,code,stock_name,industry,latest_trade_date,latest_close,price_percentile_5y,price_percentile_1y,distance_from_52w_low_pct,ma20,ma60,ma120,ma250,ma20_slope_pct,ma60_slope_pct,trend_confirmation_level,atr14,relative_strength_20d,relative_strength_60d,avg_turnover_20d,quant_score,quant_status,hard_blockers,soft_blockers,rejection_reasons
816,000657,中钨高新,C 制造业,2026-07-07,76.84,0.9864,0.932,571.0917,90.77,69.85,59.68,38.93,5.1755,5.0505,NONE,8.71,10.4078,46.9676,9511530109.55,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
817,000962,东方钽业,C 制造业,2026-07-07,63.66,0.9872,0.936,296.6355,71.23,58.35,51.45,37.17,7.305,4.9307,NONE,7.63,22.6884,34.6024,2859491601.45,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
818,001339,智微智能,C 制造业,2026-07-07,101.31,0.9682,0.88,114.3673,109.94,98.3,79.09,66.36,-0.6569,3.383,NONE,10.14,-3.2555,55.0079,1158054666.3,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
819,002008,大族激光,C 制造业,2026-07-07,130.35,0.9768,0.884,445.1694,134.89,122.6,90.09,61.46,0.4831,4.6836,NONE,13.2,5.1268,75.6885,10424667406.9,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
820,002080,中材科技,C 制造业,2026-07-07,74.3,0.9872,0.936,306.2329,79.14,66.47,54.34,42.52,6.2073,5.3378,NONE,7.82,23.6353,61.4846,4761199984.85,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
821,002138,顺络电子,C 制造业,2026-07-07,61.14,0.988,0.94,123.1387,65.8,48.59,43.31,38.22,5.6769,5.9361,NONE,5.7,7.1202,68.8985,3935187387.8,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
822,002281,光迅科技,C 制造业,2026-07-07,221.67,0.9864,0.932,380.4291,234.98,193.35,135.49,96.05,0.3076,6.0011,NONE,20.92,4.3668,117.1737,11513605230.25,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
823,002297,博云新材,C 制造业,2026-07-07,25.5,0.9848,0.924,231.1688,27.13,23.37,17.72,13.25,6.8538,6.2446,NONE,2.86,25.9976,117.8428,2832824503.65,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
824,002364,中恒电气,C 制造业,2026-07-07,51.8,0.98,0.9,255.0377,52.45,48.77,40.11,31.33,-0.429,4.4644,NONE,4.38,-3.8892,70.0145,2369555496.6,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
825,002384,东山精密,C 制造业,2026-07-07,236.87,0.9896,0.948,541.4027,243.82,211.79,150.95,106.45,1.1391,5.0191,NONE,21.21,8.4813,89.1182,19515448952.0,38.1,HARD_REJECT,price_too_high,trend_unconfirmed,price_too_high;trend_unconfirmed
