strategy,date,code,name,action,valuation_confidence,tradable_today,sell_confirmation_count,price_to_neutral,neutral_value,close_qfq,weight_before,weight_after,weight_change,cost_fraction
current_v31_baseline,2021-05-31,600809,山西汾酒,CORE_ONLY,MEDIUM,True,0,3.110231853132809,99.14694934700496,308.37,0.032019821224340154,0.03125,-0.0007698212243401545,7.698212243401545e-07
current_v31_baseline,2021-06-30,002444,巨星科技,BUY_A_LEVEL,LOW,True,0,0.7124724625462966,45.60176246515464,32.49,0.07972590737545038,0.09375,0.014024092624549622,1.4024092624549623e-05
current_v31_baseline,2021-06-30,000895,双汇发展,BUY_A_LEVEL,HIGH,True,0,0.6737456225101944,36.49745419997579,24.59,0.044894474656833855,0.09375,0.048855525343166145,4.8855525343166144e-05
current_v31_baseline,2021-07-30,002444,巨星科技,BUY_FULL_MARGIN,LOW,True,0,0.6039240264242847,45.60176246515464,27.54,0.05721523431359573,0.125,0.06778476568640426,6.778476568640427e-05
current_v31_baseline,2021-07-30,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.5060626940936678,36.49745419997579,18.47,0.050699750599469545,0.125,0.07430024940053045,7.430024940053045e-05
current_v31_baseline,2021-08-31,000895,双汇发展,BUY_FULL_MARGIN,HIGH,True,0,0.4989173682475098,33.85330131786668,16.89,0.07681409234644287,0.125,0.048185907653557125,4.8185907653557125e-05
current_v31_baseline,2021-09-30,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.5697521142447654,45.440814264144464,25.89,0.06777354894048229,0.10022082622499298,0.03244727728451069,3.244727728451069e-05
current_v31_baseline,2022-04-29,002444,巨星科技,BUY_FULL_MARGIN,MEDIUM,True,0,0.5852483063685101,23.71642916171082,13.88,0.04468622458192449,0.07715097757635779,0.0324647529944333,3.24647529944333e-05
current_v31_baseline,2022-04-29,000895,双汇发展,REDUCE_50,MEDIUM,True,0,1.4427939844246058,16.523495563025598,23.84,0.1259385962617191,0.0625,-0.0634385962617191,6.34385962617191e-05
current_v31_baseline,2022-04-29,600580,卧龙电驱,BUY_A_LEVEL,HIGH,True,0,0.6763179006369466,12.508910368973662,8.46,0.01712455047232727,0.04809839373961118,0.03097384326728391,3.097384326728391e-05
current_v31_baseline,2022-08-31,002415,海康威视,BUY_A_LEVEL,MEDIUM,True,0,0.6839644667154998,38.671599603729234,26.45,0.0026112235113779445,0.010078679830964839,0.007467456319586894,7.4674563195868944e-06
current_v31_baseline,2022-08-31,600580,卧龙电驱,CORE_ONLY,LOW,True,0,2.278976726099673,4.659986158865022,10.62,0.038717456319588756,0.03125,-0.0074674563195887556,7.467456319588755e-06
current_v31_baseline,2022-10-31,002415,海康威视,BUY_A_LEVEL,MEDIUM,True,0,0.6657554011164661,37.80667788468577,25.17,0.01172652255679838,0.015986525844765655,0.004260003287967275,4.260003287967275e-06
