code,stock_name,balanced_exit_historical_profile,signal_count,avg_balanced_exit_net_return_60d,win_rate_balanced_exit_60d,avg_balanced_exit_max_drawdown_250d,source_signal_details,generated_at,rule
600196,复星医药,DEGRADED,412,0.3564,31.5534,-9.2534,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600276,恒瑞医药,PASSED,109,11.8174,80.7339,-8.5868,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600309,万华化学,PASSED,484,2.1293,46.6942,-9.7051,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600362,江西铜业,PASSED,148,9.9709,68.9189,-8.4039,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600406,国电南瑞,FAILED,242,-1.7029,20.6612,-8.4419,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600426,华鲁恒升,DEGRADED,393,4.1662,42.2392,-9.1199,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600438,通威股份,FAILED,216,-4.1638,13.8889,-10.7785,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600519,贵州茅台,FAILED,823,-2.4291,22.1142,-7.9096,reports/genge_industry_evidence_final/20260704_114820/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600570,恒生电子,FAILED,312,0.7737,28.8462,-11.9037,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600690,海尔智家,DEGRADED,334,1.8121,44.3114,-8.3627,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600703,三安光电,DEGRADED,436,-1.009,37.6147,-12.2828,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600741,华域汽车,DEGRADED,358,-1.5368,32.4022,-9.6956,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600809,山西汾酒,FAILED,737,-3.1095,23.3379,-10.8549,reports/genge_industry_evidence_final/20260704_114820/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600887,伊利股份,FAILED,661,-2.544,24.0545,-8.1737,reports/genge_industry_evidence_final/20260704_114820/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
600905,三峡能源,FAILED,184,-5.5447,4.3478,-8.2676,reports/genge_industry_evidence_final/20260704_110040/signal_details.csv,2026-07-07T17:20:51+00:00,avg_return>=0/win_rate>=45/drawdown>=-12 => PASSED; avg_return>=-4/win_rate>=30/drawdown>=-18 => DEGRADED; else FAILED
