date,nav,cash_weight,turnover,w_002179,w_002138,w_002241,w_002815,w_603019,w_600570
2025-05-28,1.1364141360822966,0.8604575699822536,0.0,0.03306799100555376,0.03713389822815484,0.03107668147315053,0.038263859310887285,0.0,0.0
2025-05-29,1.140511973764249,0.8573659624102989,0.0,0.03326540613181604,0.03825614913395067,0.031872645150683436,0.0392398371732509,0.0,0.0
2025-05-30,1.1377451223598145,0.859450967364914,0.0,0.03337271976869144,0.03776177778977457,0.03096450748163881,0.03845002759498117,0.0,0.0
2025-06-03,1.136776747649069,0.8601830993192692,0.0,0.033921113766824024,0.03649215408265037,0.031036415102206238,0.038367217729050135,0.0,0.0
2025-06-04,1.1385980345377662,0.858807161408657,0.0,0.03375246866470639,0.037062673212366934,0.03145649574107444,0.03892120097319525,0.0,0.0
2025-06-05,1.1425488023375816,0.8558375309888426,0.0,0.03378482110683868,0.03731054601083085,0.03305403048375189,0.040013071409735916,0.0,0.0
2025-06-06,1.1412862967198976,0.8567842695011718,0.0,0.034050426092559725,0.03680806392808014,0.032606858846822795,0.03975038163136553,0.0,0.0
2025-06-09,1.1415884520832271,0.8565574960419855,0.0,0.03381324226113826,0.03686801536923427,0.03302138581794898,0.039739860509693005,0.0,0.0
2025-06-10,1.1392153711159299,0.8583417769977998,0.0,0.03280200343087834,0.03645594174892837,0.03292358544950163,0.0394766923728919,0.0,0.0
2025-06-11,1.1400999723383896,0.8576757913793078,0.0,0.0328644252186179,0.03626017218445069,0.03321582246344321,0.039983788754180426,0.0,0.0
2025-06-12,1.139308582013714,0.8582715529962405,0.0,0.03257069181569925,0.03565686005027912,0.03345089701220912,0.04004999812557203,0.0,0.0
2025-06-13,1.1381793384771899,0.8591230862924786,0.0,0.03303431007192624,0.03548252934943211,0.03284744808422924,0.039512626201933757,0.0,0.0
2025-06-16,1.139651547413261,0.8580132657620758,0.0,0.03300042688237453,0.03567405441247301,0.03327430741695068,0.04003794552612604,0.0,0.0
2025-06-17,1.1403821300007735,0.8574635819891283,0.0,0.032794798041136865,0.03562329292455451,0.034221230262674804,0.03989709678250547,0.0,0.0
2025-06-18,1.143572736182927,0.8550712299164497,0.0,0.03306248383431799,0.03587176705003901,0.03513655001844688,0.04085796918074646,0.0,0.0
2025-06-19,1.141419860112739,0.8566840127788502,0.0,0.032492891747936584,0.03553514248251225,0.03458310764353717,0.04070484534716379,0.0,0.0
2025-06-20,1.1404629259837107,0.8574028350666628,0.0,0.032168776410426786,0.035704484282140424,0.033946507673117875,0.04077739656765209,0.0,0.0
2025-06-23,1.1419727568040836,0.8562692412763155,0.0,0.03296844066182838,0.0356572784880674,0.03411313361549317,0.04099190595829551,0.0,0.0
2025-06-24,1.1450562142301328,0.8539634420344102,0.0,0.03318588537026642,0.0365896033501772,0.034729420992531145,0.04153164825261507,0.0,0.0
2025-06-25,1.1477054908743418,0.8519922173430772,0.0,0.03374650213214022,0.03764202900131637,0.03514531729658827,0.041473934226878006,0.0,0.0
2025-06-26,1.1464775662373596,0.8529047360569201,0.0,0.0335816628740102,0.03714105180695534,0.034701413312170123,0.04167113594994426,0.0,0.0
2025-06-27,1.1480553064696575,0.8517326129816543,0.0,0.033998011147487676,0.03735335451476146,0.03465372413239658,0.042262297223700035,0.0,0.0
2025-06-30,1.1502897456924128,0.851199755420809,0.0011225883581946622,0.034680942694674914,0.03798625222097852,0.03446638299687099,0.041666666666666664,0.0,0.0
2025-07-01,1.1504029163998737,0.8511160187776396,0.0,0.03403309668529672,0.03783036395693688,0.03428302896517839,0.04273749161494829,0.0,0.0
2025-07-02,1.1465693737366156,0.8539617162505568,0.0,0.03392844377854465,0.037429478165374466,0.03358511090677688,0.0410952508987472,0.0,0.0
2025-07-03,1.1511494605667603,0.8505640524857481,0.0,0.0336890173461206,0.03802699774801358,0.03501015694991479,0.04270977547020302,0.0,0.0
2025-07-04,1.1500468270354678,0.8513795501009194,0.0,0.03373873999261348,0.038409362639671804,0.03420363446594396,0.04226871280085134,0.0,0.0
2025-07-07,1.1464554792432786,0.854046552983219,0.0,0.033625964923003335,0.037863463220264064,0.03288116380098049,0.04158285507253314,0.0,0.0
2025-07-08,1.1515614529470672,0.8502597474851852,0.0,0.034294650987305636,0.039008290847141386,0.033409553966477566,0.04302775671389017,0.0,0.0
2025-07-09,1.150737502861949,0.8508685497442326,0.0,0.03381425633915958,0.038455448840133966,0.03335851289647816,0.04350323217999566,0.0,0.0
2025-07-10,1.1512283040812041,0.8505058003919453,0.0,0.03359098450215371,0.0383837660897162,0.03347916700269634,0.04404028201348837,0.0,0.0
2025-07-11,1.1500392325568851,0.8513851723297755,0.0,0.03370411749098731,0.03842345259949894,0.03351378245146874,0.04297347512826948,0.0,0.0
2025-07-14,1.1500063883323983,0.8514094879214177,0.0,0.033504713878175205,0.0386597740833053,0.0331546886884371,0.04327133542866468,0.0,0.0
2025-07-15,1.1502420946195624,0.8512350180683381,0.0,0.03321042509685714,0.03903920051914246,0.033252887999288314,0.043262468316373946,0.0,0.0
2025-07-16,1.1484723784426987,0.8525467121151998,0.0,0.03315692153453217,0.03866984620474355,0.032928574394088674,0.042697945751435804,0.0,0.0
2025-07-17,1.1533691985147587,0.848927083762344,0.0,0.03342439851910627,0.03947141282141714,0.034329483895039196,0.043847621002093336,0.0,0.0
2025-07-18,1.1515356569241617,0.8502787945027828,0.0,0.03359941884548122,0.039133529718761745,0.033515177776269785,0.0434730791567045,0.0,0.0
2025-07-21,1.1530149886193775,0.8491878768799477,0.0,0.03362582114010603,0.039152323981522644,0.03395099264522282,0.044082985353200835,0.0,0.0
2025-07-22,1.1535397263033236,0.8488015868635845,0.0,0.033541045852397006,0.03912071951530421,0.03510212978031103,0.043434517988403205,0.0,0.0
2025-07-23,1.1517424499329323,0.8501261286787355,0.0,0.033323734411169294,0.038739659413378875,0.03475245938805346,0.04305801810866286,0.0,0.0
2025-07-24,1.152753630114745,0.8493804093238762,0.0,0.03337272058758543,0.038774696181529414,0.03515599967940881,0.043316174227600236,0.0,0.0
2025-07-25,1.1520186713136495,0.8499222925614097,0.0,0.033202691682219364,0.03841268225216387,0.035118524652037734,0.04334380885216935,0.0,0.0
2025-07-28,1.1549452973433285,0.8477685934119034,0.0,0.03363901545399569,0.03850823028337059,0.03474571308530552,0.04533844776542484,0.0,0.0
2025-07-29,1.157514744511461,0.8458867196630784,0.0,0.033278726526783216,0.03861520727212803,0.034623870247689925,0.04759547629032043,0.0,0.0
2025-07-30,1.1577422808640272,0.8457204737013841,0.0,0.033038545268676646,0.038717572106321055,0.03427432223871247,0.04824908668490562,0.0,0.0
2025-07-31,1.1572244080944798,0.8529547529030309,0.006861614043664352,0.03261158759056811,0.03895463794753316,0.03381235489220112,0.041666666666666664,0.0,0.0
2025-08-01,1.1552249829137515,0.8544310187700265,0.0,0.03226911123948225,0.03837467608127824,0.033661796714693736,0.04126339719451931,0.0,0.0
2025-08-04,1.1573125692743123,0.8528897769411723,0.0,0.03266969894733816,0.038016720394886634,0.03352654026089106,0.042897263455711876,0.0,0.0
2025-08-05,1.1600841839643834,0.8508520956526441,0.0,0.03272118369274435,0.03922895236835133,0.033803361001583675,0.04339440728467655,0.0,0.0
2025-08-06,1.159615070127948,0.8511963016750672,0.0,0.03313182998264286,0.03872338745553824,0.033757525063349045,0.043190955823402585,0.0,0.0
2025-08-07,1.1582382403115912,0.8522081422506328,0.0,0.03295497471333259,0.03843970035748548,0.03422962005118112,0.04216756262736804,0.0,0.0
2025-08-08,1.158774371132187,0.8518138506076645,0.0,0.03271494187435758,0.03843564735985899,0.03352891181228848,0.04350664834583049,0.0,0.0
2025-08-11,1.1631352789452694,0.8486201707806926,0.0,0.03321243391633442,0.03930389405403924,0.03507929609782048,0.04378420515111317,0.0,0.0
2025-08-12,1.1615571853291604,0.8497731076235144,0.0,0.03298156006836516,0.039083311937767276,0.034948720870041194,0.04321329950031196,0.0,0.0
2025-08-13,1.166211704450399,0.846381540583796,0.0,0.033090458835297404,0.04074202308470601,0.03523824858622853,0.04454772890997209,0.0,0.0
2025-08-14,1.1689753553629096,0.8443805547578453,0.0,0.034383451926272915,0.04146242763906901,0.037398243830041755,0.04237532184677091,0.0,0.0
2025-08-15,1.171852729081007,0.8423072580405708,0.0,0.035145388429952115,0.04202597526047935,0.03796892138773671,0.04255245688126096,0.0,0.0
2025-08-18,1.1792501671969016,0.8370234633129984,0.0,0.034992885200158974,0.041425009045701344,0.04092007994267922,0.04563856249846208,0.0,0.0
2025-08-19,1.1821086806562442,0.8349994168993156,0.0,0.034416720862800045,0.04129791553474964,0.04066058841342976,0.048625358289705004,0.0,0.0
2025-08-20,1.1859310338703344,0.8323081451357861,0.0,0.034195973856160626,0.04111113906366115,0.041693341765939564,0.05069140017845256,0.0,0.0
2025-08-21,1.181544877181149,0.8353978576035513,0.0,0.03462816022898108,0.04130415457832281,0.04284102386475041,0.04582880372439434,0.0,0.0
2025-08-22,1.1835302204612428,0.8339964979304948,0.0,0.034578537087040964,0.041234867859391316,0.04304612364603069,0.047143973477042175,0.0,0.0
2025-08-25,1.1846842386074279,0.8331840898127013,0.0,0.035111439969800734,0.04143646907616837,0.04459154597490243,0.04567645516642715,0.0,0.0
2025-08-26,1.192846988787694,0.8274825424698811,0.0,0.03465280475297592,0.04207335389527723,0.04877000285303113,0.047021296028834605,0.0,0.0
2025-08-27,1.1926121109483072,0.8276455102193458,0.0,0.03396240468476497,0.04152126304784339,0.04925698831761969,0.04761383373042614,0.0,0.0
2025-08-28,1.201160982696446,0.8217550130905558,0.0,0.034529717964047774,0.04203383726045105,0.04968202614710249,0.051999405537842915,0.0,0.0
2025-08-29,1.2061224184066641,0.8407044561787129,0.02234805626222241,0.03429554382128703,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0
2025-09-01,1.2092138740777953,0.8385551254320895,0.0,0.034887216530743184,0.04571354440854858,0.040372056940271545,0.04047205668834713,0.0,0.0
2025-09-02,1.1974010836871964,0.8468277719685273,0.0,0.03429434181884059,0.04327594461901432,0.03795541152012751,0.037646530073490295,0.0,0.0
