date,nav,cash_weight,turnover,w_600089
2021-10-29,1.5171868354911584,0.75,0.018431831480397842,0.25
2021-11-01,1.4950698066904018,0.7610949813355454,0.0,0.23890501866445457
2021-11-02,1.4764666983533168,0.7706845863082739,0.0,0.22931541369172612
2021-11-03,1.4748130887233537,0.7715487035739313,0.0,0.22845129642606862
2021-11-04,1.481840929650697,0.7678895243409123,0.0,0.23211047565908766
2021-11-05,1.4694388574259736,0.7743705162470109,0.0,0.22562948375298908
2021-11-08,1.473366180297136,0.7723063973063974,0.0,0.2276936026936026
2021-11-09,1.4868017585405862,0.7653274016404839,0.0,0.2346725983595161
2021-11-10,1.472952777889645,0.7725231546449622,0.0,0.22747684535503782
2021-11-11,1.4636512237211023,0.7774325660217485,0.0,0.22256743397825157
2021-11-12,1.464478028536084,0.7769936485532817,0.0,0.22300635144671832
2021-11-15,1.4495955418664161,0.7849707685726509,0.0,0.21502923142734912
2021-11-16,1.447941932236453,0.7858672376873663,0.0,0.21413276231263373
2021-11-17,1.4605507056649216,0.7790829323521088,0.0,0.22091706764789124
2021-11-18,1.462824418906121,0.7778719796523952,0.0,0.22212802034760487
2021-11-19,1.4632378213136117,0.7776522107642323,0.0,0.22234778923576773
2021-11-22,1.4659249369623018,0.7762267343485618,0.0,0.22377326565143815
2021-11-23,1.45972390084994,0.7795242141036534,0.0,0.2204757858963466
2021-11-24,1.4545563707563054,0.7822935910189002,0.0,0.21770640898109986
2021-11-25,1.4636512237211026,0.7774325660217484,0.0,0.2225674339782516
2021-11-26,1.4533161635338332,0.7829611719527806,0.0,0.21703882804721938
2021-11-29,1.4617909128873943,0.7784219457013575,0.0,0.22157805429864247
2021-11-30,1.4593104984424496,0.7797450424929179,0.0,0.2202549575070821
2021-12-01,1.4543496695525602,0.7824047754405913,0.0,0.21759522455940872
2021-12-02,1.4502156454776525,0.7846351197263398,0.0,0.21536488027366016
2021-12-03,1.4487687370514348,0.785418747324868,0.0,0.21458125267513195
2021-12-06,1.4570367852012502,0.7809618385586607,0.0,0.2190381614413392
2021-12-07,1.4584836936274679,0.780187074829932,0.0,0.21981292517006804
2021-12-08,1.4613775104799034,0.7786421499292786,0.0,0.2213578500707214
2021-12-09,1.4537295659413239,0.7827385184131949,0.0,0.2172614815868051
2021-12-10,1.4518692551076153,0.7837414578587699,0.0,0.2162585421412301
2021-12-13,1.4615842116836484,0.7785320322443784,0.0,0.2214679677556216
2021-12-14,1.4553831755712867,0.781849169152109,0.0,0.21815083084789097
2021-12-15,1.4737795827046265,0.7720897615708274,0.0,0.22791023842917257
2021-12-16,1.4739862839083722,0.7719814892721918,0.0,0.2280185107278082
2021-12-17,1.4677852477960103,0.7752429235318968,0.0,0.22475707646810314
2021-12-20,1.4479419322364528,0.7858672376873661,0.0,0.2141327623126339
2021-12-21,1.4506290478851431,0.7844115132516386,0.0,0.21558848674836142
2021-12-22,1.445254816587763,0.7873283752860412,0.0,0.21267162471395884
2021-12-23,1.445874920198999,0.7869907076483201,0.0,0.21300929235167987
2021-12-24,1.4340929515855119,0.7934563274718939,0.0,0.20654367252810615
2021-12-27,1.4239645926019877,0.7991000145158949,0.0,0.20089998548410518
2021-12-28,1.428305317880641,0.7966714905933429,0.0,0.20332850940665712
