,TRUE_BUYHOLD_single_600845
2019-11-13,4.345243902439025
2019-11-14,4.467073170731707
2019-11-15,4.345243902439025
2019-11-18,4.337121951219513
2019-11-19,4.4102195121951215
2019-11-20,4.519865853658537
2019-11-21,4.523926829268293
2019-11-22,4.475195121951219
2019-11-25,4.357426829268293
2019-11-26,4.556414634146342
2019-11-27,4.475195121951219
2019-11-28,4.454890243902439
2019-11-29,4.430524390243903
2019-12-02,4.308695121951219
2019-12-03,4.337121951219513
2019-12-04,4.284329268292684
2019-12-05,4.4183414634146345
2019-12-06,4.3655487804878055
2019-12-09,4.540170731707318
2019-12-10,4.540170731707318
2019-12-11,4.458951219512196
2019-12-12,4.373670731707317
2019-12-13,4.454890243902439
2019-12-16,4.540170731707318
2019-12-17,4.580780487804878
2019-12-18,4.4955
2019-12-19,4.4711341463414636
2019-12-20,4.178743902439024
2019-12-23,4.174682926829268
2019-12-24,4.194987804878049
2019-12-25,4.308695121951219
2019-12-26,4.1990487804878045
2019-12-27,4.1625000000000005
2019-12-30,4.170621951219513
2019-12-31,4.154378048780488
2020-01-02,4.255902439024391
2020-01-03,4.227475609756097
2020-01-06,4.166560975609756
2020-01-07,4.272146341463414
2020-01-08,4.138134146341463
2020-01-09,4.296512195121951
2020-01-10,4.316817073170732
2020-01-13,4.450829268292684
2020-01-14,4.377731707317073
2020-01-15,4.475195121951219
2020-01-16,4.913780487804878
2020-01-17,4.946268292682927
2020-01-20,5.072158536585365
2020-01-21,5.0437317073170735
2020-01-22,5.133073170731707
2020-01-23,4.942207317073171
2020-02-03,4.637634146341464
2020-02-04,5.23459756097561
2020-02-05,5.624451219512195
2020-02-06,6.3229390243902435
2020-02-07,7.086402439024391
2020-02-10,6.769646341463416
2020-02-11,6.485378048780488
2020-02-12,7.114829268292683
2020-02-13,6.566597560975611
2020-02-14,6.391975609756098
2020-02-17,6.668121951219513
2020-02-18,6.871170731707318
2020-02-19,6.501621951219513
2020-02-20,6.469134146341464
2020-02-21,6.550353658536585
2020-02-24,6.7899512195121945
2020-02-25,7.293512195121952
2020-02-26,6.623451219512195
2020-02-27,6.8589878048780495
2020-02-28,6.237658536585366
2020-03-02,6.509743902439025
2020-03-03,6.761524390243902
2020-03-04,6.915841463414635
2020-03-05,6.749341463414635
2020-03-06,6.6924878048780485
2020-03-09,6.3391829268292685
2020-03-10,6.708731707317074
2020-03-11,6.741219512195123
2020-03-12,6.396036585365853
2020-03-13,6.574719512195123
2020-03-16,6.050853658536586
2020-03-17,6.10770731707317
2020-03-18,5.941207317073171
2020-03-19,6.058975609756098
2020-03-20,6.428524390243903
2020-03-23,6.217353658536585
2020-03-24,6.095524390243902
2020-03-25,6.115829268292683
2020-03-26,5.892475609756097
2020-03-27,5.543231707317073
2020-03-30,5.145256097560976
2020-03-31,5.299573170731708
2020-04-01,5.27520731707317
2020-04-02,5.510743902439025
2020-04-03,5.384853658536586
2020-04-07,5.583841463414634
2020-04-08,5.604146341463415
2020-04-09,5.721914634146342
2020-04-10,5.470134146341463
2020-04-13,5.571658536585366
2020-04-14,6.266085365853659
2020-04-15,6.270146341463414
2020-04-16,6.416341463414634
2020-04-17,6.412280487804877
2020-04-20,6.63969512195122
2020-04-21,6.7452804878048775
2020-04-22,6.761524390243902
2020-04-23,6.60720731707317
2020-04-24,6.6315731707317065
2020-04-27,6.54629268292683
2020-04-28,6.659999999999999
2020-04-29,7.0092439024390245
2020-04-30,7.127012195121952
2020-05-06,7.415341463414635
2020-05-07,7.594024390243902
2020-05-08,7.630573170731707
